gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
ABCB1,19,True,True,True,True,4,True,-2.3877307440454323,-2.3877307440454323,down
ABO,38,True,True,True,True,4,True,-0.4698216187967666,-0.5339716674443871,down
ACOXL,28,True,True,True,True,4,True,0.3801451464914522,0.38502394566155784,up
ACTB,9,True,True,True,True,4,True,0.12874395106609468,0.12515804346222392,up
ACTN1,42,True,True,True,True,4,True,0.8691384637436617,0.8691384637436617,up
ACVR2A,19,True,True,True,True,4,True,-0.9777133551533371,-0.9777133551533371,down
ADAM17,24,True,True,True,True,4,True,0.19448313463444902,0.2395810084404153,up
ADAP1,2,True,True,True,True,4,True,-0.1265569610138133,-0.21850881717332804,down
ADCY7,41,True,True,True,True,4,True,0.381888307875502,0.342872435750774,up
ADGRL2,11,True,True,True,True,4,True,1.4384571216466977,1.4384571216466977,up
AHR,22,True,True,True,True,4,True,0.8388626196934403,0.8388626196934403,up
ALPI,13,True,True,True,True,4,True,-1.4107505982070758,-1.4107505982070758,down
ANGPT4,2,True,True,True,True,4,True,-0.07587912746819796,-0.1412106425705577,down
ANK3,19,True,True,True,True,4,True,-1.0136175294879057,-1.0136175294879057,down
ANKRD12,3,True,True,True,True,4,True,-0.2972779139502724,-0.2972779139502724,down
APOE,9,True,True,True,True,4,True,0.19784727933904497,0.2774666048338714,up
ARFRP1,3,True,True,True,True,4,True,-0.20994090486690187,-0.20994090486690187,down
ARHGEF17,9,True,True,True,True,4,True,0.23990925267626384,0.25074332940886546,up
ARPC2,39,True,True,True,True,4,True,-0.13796969981049698,-0.13884118809684765,down
ASCC2,40,True,True,True,True,4,True,-0.30516265387368396,-0.3169562295560313,down
ASPG,27,True,True,True,True,4,True,-0.3472453326000868,-0.327298533944254,down
BATF,34,True,True,True,True,4,True,0.44166891662947955,0.40153541446010443,up
BCL2L11,13,True,True,True,True,4,True,-0.5628938286744706,-0.5628938286744706,down
BLTP1,5,True,True,True,True,4,True,-0.4182138842297718,-0.4182138842297718,down
BLTP3A,33,True,True,True,True,4,True,0.19543001489437048,0.19543001489437048,up
BTBD3,0,True,True,True,True,4,True,-0.46650727589203395,-0.5345461849816493,down
C1orf141,26,True,True,True,True,4,True,-0.11025114111869572,-0.11025114111869572,down
CACNA1C,28,True,True,True,True,4,True,0.4793182506091512,0.35703167837256133,up
CALHM6,42,True,True,True,True,4,True,0.844417577038748,0.844417577038748,up
CAMK2G,20,True,True,True,True,4,True,-0.4408767231744089,-0.4408767231744089,down
CARD8,41,True,True,True,True,4,True,0.5051633222036642,0.5680905572681718,up
CARMIL1,6,True,True,True,True,4,True,-0.25257583640068937,-0.25257583640068937,down
CCDC122,27,True,True,True,True,4,True,-0.26438937718046446,-0.2632159145951123,down
CCDC88B,16,True,True,True,True,4,True,0.42295338473657296,0.42295338473657296,up
CCDC93,5,True,True,True,True,4,True,-0.35051824252577113,-0.35051824252577113,down
CCL11,1,True,True,True,True,4,True,1.0001154612814187,1.0001154612814187,up
CCL2,12,True,True,True,True,4,True,2.211535341535931,2.211535341535931,up
CCL20,18,True,True,True,True,4,True,1.6386863302640202,1.6386863302640202,up
CD200,23,True,True,True,True,4,True,0.5493856361273085,0.5493856361273085,up
CD226,10,True,True,True,True,4,True,0.5287056207915352,0.6628362833688057,up
CD274,11,True,True,True,True,4,True,1.5246554851998855,1.5246554851998855,up
CD28,10,True,True,True,True,4,True,0.6166844802714003,0.584226438849039,up
CD40,17,True,True,True,True,4,True,0.7470102150904641,0.7470102150904641,up
CDH13,23,True,True,True,True,4,True,0.6963006325732399,0.6963006325732399,up
CDKN2B,19,True,True,True,True,4,True,-1.4592313150788077,-1.4592313150788077,down
CEP128,17,True,True,True,True,4,True,0.8175071184361687,0.8175071184361687,up
CH25H,7,True,True,True,True,4,True,0.9329322815613604,0.9329322815613604,up
CISD1,4,True,True,True,True,4,True,-0.47920615591811355,-0.47920615591811355,down
CLEC16A,27,True,True,True,True,4,True,-0.1452745140312978,-0.1300724282531176,down
COL28A1,18,True,True,True,True,4,True,0.9079069130310254,0.9079069130310254,up
CPEB4,21,True,True,True,True,4,True,0.4392108402195782,0.5293482453984155,up
CREM,22,True,True,True,True,4,True,0.45539509984248916,0.45539509984248916,up
CRISPLD2,1,True,True,True,True,4,True,1.0049223576360102,1.0049223576360102,up
CRTC3,32,True,True,True,True,4,True,0.4224229292392767,0.4224229292392767,up
CTSF,24,True,True,True,True,4,True,0.13386685620204108,0.18750604132096482,up
CXCR2,12,True,True,True,True,4,True,1.7888322215764407,1.7888322215764407,up
CYLD,23,True,True,True,True,4,True,0.35181290764621487,0.35181290764621487,up
CYP2J2,19,True,True,True,True,4,True,-1.0228631423476038,-1.0228631423476038,down
DCBLD1,18,True,True,True,True,4,True,0.3009860621601801,0.3009860621601801,up
DENND1B,6,True,True,True,True,4,True,-0.5778051596347081,-0.5778051596347081,down
DLG1,6,True,True,True,True,4,True,-0.25856108852820076,-0.25856108852820076,down
DNAJC28,2,True,True,True,True,4,True,-0.2359540233838547,-0.38417269204369653,down
DOCK2,10,True,True,True,True,4,True,0.7442491483852027,0.8128447243950374,up
DOCK5,3,True,True,True,True,4,True,-0.27360154258902963,-0.27360154258902963,down
DOP1A,39,True,True,True,True,4,True,-0.20334445552789612,-0.25085192130557,down
DPCD,33,True,True,True,True,4,True,0.3579390080127727,0.3579390080127727,up
DUSP16,5,True,True,True,True,4,True,-0.5846019033560026,-0.5846019033560026,down
DUSP22,28,True,True,True,True,4,True,0.3189662774149277,0.32389399892642823,up
EDN3,19,True,True,True,True,4,True,-0.9993871431549385,-0.9993871431549385,down
EFNA1,6,True,True,True,True,4,True,-1.3252854009514243,-1.3252854009514243,down
EGR2,7,True,True,True,True,4,True,0.9256200462799896,0.9256200462799896,up
ELF1,14,True,True,True,True,4,True,-0.37698083860453896,-0.37698083860453896,down
ELK3,1,True,True,True,True,4,True,1.0830619300597222,1.0830619300597222,up
ELL,2,True,True,True,True,4,True,0.07028843694669067,0.1949260692476611,up
ELMO1,10,True,True,True,True,4,True,0.6659242103802937,0.6914331275582248,up
EMSY,2,True,True,True,True,4,True,0.08740002171946386,0.08740002171946386,up
ERBB2,20,True,True,True,True,4,True,-0.6020594381446364,-0.6020594381446364,down
ERN1,17,True,True,True,True,4,True,0.3125387863215776,0.3125387863215776,up
ERRFI1,33,True,True,True,True,4,True,0.7767554235211165,0.7767554235211165,up
ESR1,15,True,True,True,True,4,True,0.40876199630305204,0.40876199630305204,up
ETV7,41,True,True,True,True,4,True,0.40573105364811707,0.4709723858871109,up
EVPL,39,True,True,True,True,4,True,-0.20381848359759433,-0.18755964327785257,down
EZR,38,True,True,True,True,4,True,-0.2720961172413852,-0.34177606440883235,down
F5,17,True,True,True,True,4,True,0.7825713218331538,0.7825713218331538,up
