gene,cluster_id
ABCB1,19
ABO,38
ACOXL,28
ACTA2,29
ACTB,9
ACTN1,42
ACVR2A,19
ADAD1,2
ADAM17,24
ADAM30,35
ADAP1,2
ADCY7,41
ADGRL2,11
ADO,30
AHR,22
ALOX5AP,31
ALPI,13
ANGPT4,2
ANK3,19
ANKRD12,3
APOE,9
ARFRP1,3
ARHGEF17,9
ARPC2,39
ASAP2,-1
ASCC2,40
ASPG,27
ATP10A,31
BATF,34
BCL2L11,13
BLTP1,5
BLTP3A,33
BTBD3,0
C1orf141,26
CACNA1C,28
CALHM6,42
CAMK2A,35
CAMK2G,20
CARD11,2
CARD8,41
CARMIL1,6
CARMIL2,30
CCDC122,27
CCDC18,2
CCDC88B,16
CCDC93,5
CCL11,1
CCL2,12
CCL20,18
CCL7,29
CCNH,31
CD200,23
CD226,10
CD274,11
CD28,10
CD40,17
CDC73,2
CDH13,23
CDKN2B,19
CEP128,17
CEP72,29
CEP76,36
CH25H,7
CHLSN,25
CHRM3,10
CHSY3,25
CIITA,34
CISD1,4
CLEC16A,27
CNTN6,35
CNTNAP2,-1
COL28A1,18
CPEB4,21
CRACR2A,2
CRB1,31
CREM,22
CRISPLD2,1
CRTC3,32
CSF2RB,-1
CSMD1,36
CTNNB1,2
CTSF,24
CXCR2,12
CYLD,23
CYP2J2,19
DAGLB,4
DAP,40
DCBLD1,18
DENND1B,6
DLD,0
DLG1,6
DNAI4,0
DNAJC28,2
DOCK2,10
DOCK5,3
DOP1A,39
DPCD,33
DUSP16,5
DUSP22,28
EDN3,19
EFNA1,6
EGR2,7
ELF1,14
ELK3,1
ELL,2
ELMO1,10
EMSY,2
ERAP2,29
ERBB2,20
ERCC2,25
ERGIC1,2
ERN1,17
ERRFI1,33
ESR1,15
ETV7,41
EVPL,39
EZH2,-1
EZR,38
F5,17
FADS1,21
FADS2,10
FADS3,9
FAIM,31
FAM53B,0
FAP,11
FASTKD3,3
FAT4,22
FBN2,9
FCGR2A,12
FCGR2B,10
FEN1,43
FKBP5,43
FMNL2,33
FOS,10
FOXP1,2
FSHR,2
FYB1,29
GART,33
GCKR,24
GIPC2,19
GNA12,24
GOLPH3L,0
GPR35,13
GPR65,15
GPX1,9
GPX4,13
GTF2I,2
GTF2IRD1,32
HDAC7,17
HELZ2,18
HHEX,21
HIF1A,1
HINT1,39
HLX,23
HMGXB4,25
HNF4A,8
HNF4G,6
HOOK1,20
HSPA1L,27
HTR1B,31
IAH1,26
ICAM1,12
ICAM2,18
ICAM5,27
ID4,2
IFIH1,30
IFNG,7
IFNGR2,13
IFNLR1,13
IKZF1,10
IL10,33
IL10RA,18
IL10RB,5
IL12RB2,28
IL17REL,34
IL18R1,7
IL18RAP,42
IL19,23
IL1R1,11
IL1RL1,43
IL2,2
IL21,29
IL21R,21
IL27,2
IL2RA,37
IL33,11
IL37,27
IL6R,6
IL6ST,32
IL7R,18
INAVA,14
INHBA,12
INSL4,16
IPMK,14
IPPK,31
IQCN,0
IRF1,17
IRF4,37
IRS2,16
ITGA4,29
ITGAL,41
ITGAV,43
ITLN1,10
JAK2,7
JAZF1,18
KAT5,3
KCNH7,2
KCTD20,40
KDELR2,25
KDM4C,3
KIF11,23
KIF21B,24
KIF9,30
KLF3,39
KPNB1,33
LAMB1,17
LCOR,14
LEMD2,26
LILRB3,17
LRRC32,1
LRRC7,2
LRRK2,1
LSP1,9
LYRM7,5
MACIR,8
MAGI3,5
MAML2,40
MAP3K8,17
MAP4K3,3
MAPK14,39
MARCHF11,2
MAX,6
MCL1,43
MFSD12,34
MGAT5,14
MIER1,40
MMP9,37
MSH6,23
MSRA,35
MTARC2,5
MTMR3,0
MUC1,18
MYO5B,5
NAB1,30
NCALD,7
NCF4,33
NCOA5,35
NCOR2,28
NDC80,10
NDRG1,19
NEK6,16
NEU4,13
NFATC1,28
NFKBIA,28
NOD2,17
NOTCH2,-1
NR1I2,19
NR5A2,20
NR6A1,8
NRIP1,20
NRIP2,2
OLIG3,2
OSMR,12
PADI4,2
PARK7,43
PCSK5,2
PDCD1,31
PDE4A,15
PDE4B,11
PDE8A,8
PDGFB,30
PDK1,32
PELI2,4
PGAP3,20
PHTF1,22
PHYKPL,20
PIK3R1,6
PITX1,17
PITX2,4
PKIB,19
PLAU,12
PLCL1,16
PMAIP1,42
PNOC,34
PPIF,23
PPP2R2A,25
PPP2R3A,19
PRDM1,11
PRKAB1,36
PRKCQ,30
PRM1,27
PRM3,2
PRR16,7
PSAT1,37
PSMA6,31
PSMG2,26
PSORS1C1,36
PTGIR,2
PTPDC1,2
PTPN11,30
PTPN2,2
PTPRC,10
PTPRK,2
PUS10,14
RAB44,36
RAMP3,17
RASA2,15
RASGRP1,41
RBM17,2
RBPJ,31
REL,33
RELT,32
RGS14,24
RIPK2,1
RNF216,2
RORC,38
RPAP1,30
RPL38,2
RPS6KA4,16
RSPO3,43
SALL1,23
SATB1,36
SATB2,8
SBNO2,11
SCAMP3,-1
SCGN,38
SDK1,17
SEC16A,22
SEC22B,2
SEMA6D,20
SEPTIN9,34
SGCD,24
SGF29,14
SH2B3,23
SHISA2,31
SKAP2,40
SLC1A1,14
SLC22A16,2
SLC22A23,20
SLC22A4,4
SLC22A5,19
SLC26A3,19
SLC39A8,29
SLC43A3,42
SLC52A3,14
SLC68A1,35
SMAD3,36
SMAD4,5
SMAD7,6
SMAP1,26
SMNDC1,40
SNX20,18
SOCS1,1
SORCS2,32
SP110,22
SP140,41
SP140L,15
SPRED2,5
STAT3,43
STAT4,43
STK38,6
SULT1A1,19
SUOX,8
TAB2,4
TAGAP,11
TENM3,40
TGFB1,18
THADA,32
THSD7A,43
TLR4,37
TMED5,27
TMEM131L,41
TMEM163,7
TMEM17,16
TMEM258,17
TMEM50B,16
TNFAIP3,43
TNFSF4,2
TNFSF8,37
TNRC18,16
TPD52L1,32
TPRG1,17
TRABD2A,8
TRAF3IP2,38
TRANK1,5
TRAPPC10,2
TRIB1,18
TRIB2,12
TSHR,2
TSPAN18,17
TSPAN9,21
TTC33,3
TYK2,24
UBAC2,14
UCP1,16
UQCR10,38
USP25,4
UST,2
VAPB,2
VCAM1,41
VWF,12
WBP4,36
XRCC2,30
ZFP90,31
ZMAT5,26
ZMIZ1,14
ZNF831,2
ZPLD1,2
