gene,n_runs_in_phase6,median_random_effect,std_random_effect,iqr_random_effect,median_random_p,direction,direction_concordance
AARS1,50,-0.214174,0.000000,0.000000,1.298991e-02,down,1.0000
ABCA1,50,0.921315,0.000000,0.000000,4.067132e-03,up,1.0000
ABCA5,50,-0.264542,0.000000,0.000000,1.010223e-01,down,1.0000
ABCG4,50,-0.345285,0.000000,0.000000,4.977748e-02,down,1.0000
ACTL6B,49,-0.420106,0.000000,0.000000,4.513036e-03,down,1.0000
ACTR1B,48,-0.455893,0.000000,0.000000,2.126678e-02,down,1.0000
ACTR6,50,-0.206850,0.000000,0.000000,3.407883e-01,down,1.0000
ADAP2,50,0.719333,0.000000,0.000000,1.232563e-02,up,1.0000
ADGRG1,50,0.597132,0.000000,0.000000,5.219545e-04,up,1.0000
AEBP1,50,0.679026,0.000000,0.000000,2.149714e-03,up,1.0000
AGGF1,49,-0.201607,0.000000,0.000000,6.466112e-02,down,1.0000
ALDOC,50,-0.230334,0.000000,0.000000,2.346586e-01,down,1.0000
ANAPC5,50,-0.176731,0.000000,0.000000,3.381753e-01,down,1.0000
ANKRD29,50,-0.349512,0.000000,0.000000,2.791895e-02,down,1.0000
ANO6,47,0.611289,0.000000,0.000000,2.687203e-02,up,1.0000
APBA2,48,-0.246780,0.000000,0.000000,1.231611e-07,down,1.0000
APOC1,45,0.846769,0.000000,0.000000,2.384872e-05,up,1.0000
ARHGAP26,50,-0.271932,0.000000,0.000000,2.494150e-03,down,1.0000
ARL3,50,-0.213618,0.000000,0.000000,2.700179e-03,down,1.0000
ARMCX5,50,-0.317054,0.000000,0.000000,1.547015e-01,down,1.0000
ASB13,50,-0.395062,0.000000,0.000000,1.070725e-01,down,1.0000
ASXL2,50,0.199870,0.000000,0.000000,3.499831e-06,up,1.0000
ATP1A1,49,-0.507574,0.000000,0.000000,5.505409e-02,down,1.0000
ATP5F1A,50,-0.139382,0.000000,0.000000,6.955430e-01,down,1.0000
ATP5F1B,50,-0.169629,0.000000,0.000000,5.677642e-01,down,1.0000
ATP6V1A,50,-0.307606,0.000000,0.000000,3.803285e-01,down,1.0000
ATP6V1C1,50,-0.303024,0.000000,0.000000,2.191155e-01,down,1.0000
ATPAF1,50,-0.223020,0.000000,0.000000,2.099977e-01,down,1.0000
ATRNL1,50,-0.530911,0.000000,0.000000,1.516259e-02,down,1.0000
ATXN7,50,0.225144,0.000000,0.000000,3.939153e-08,up,1.0000
AVPI1,50,-0.347209,0.000000,0.000000,1.442236e-01,down,1.0000
B2M,48,0.506999,0.000000,0.000000,4.742280e-02,up,1.0000
B4GALT6,50,-0.403873,0.000000,0.000000,9.437898e-02,down,1.0000
BAG3,50,1.472196,0.000000,0.000000,2.867070e-03,up,1.0000
BIRC3,48,0.553444,0.000000,0.000000,4.915928e-02,up,1.0000
BMP7,50,0.325703,0.000000,0.000000,6.886847e-03,up,1.0000
BST2,50,0.783173,0.000000,0.000000,1.019343e-05,up,1.0000
BTG3,50,0.598593,0.000000,0.000000,3.931412e-03,up,1.0000
C1QB,50,1.132762,0.000000,0.000000,9.941950e-06,up,1.0000
CACHD1,50,0.507111,0.000000,0.000000,6.422271e-04,up,1.0000
CADPS,50,-0.400294,0.000000,0.000000,3.045123e-02,down,1.0000
CBLN2,49,-0.471123,0.000000,0.000000,1.943900e-01,down,1.0000
CBX7,50,-0.238929,0.000000,0.000000,4.019017e-03,down,1.0000
CCDC25,47,-0.336797,0.000000,0.000000,1.827726e-02,down,1.0000
CCL20,50,0.504588,0.000000,0.000000,8.202732e-02,up,1.0000
CCN1,50,1.400708,0.000000,0.000000,1.445254e-05,up,1.0000
CCNB1IP1,45,-0.149732,0.000000,0.000000,2.397728e-01,down,1.0000
CD14,50,0.966896,0.000000,0.000000,4.696714e-05,up,1.0000
CD84,50,0.535139,0.000000,0.000000,5.354799e-02,up,1.0000
CDCA5,49,-0.364340,0.000000,0.000000,6.959346e-02,down,1.0000
CDKN1A,0,0,0,0,1.0,none,0.0
CEBPD,0,0,0,0,1.0,none,0.0
CEND1,50,-0.301669,0.000000,0.000000,3.099325e-03,down,1.0000
CHCHD4,49,-0.212388,0.000000,0.000000,9.724044e-02,down,1.0000
CHCHD7,50,-0.217528,0.000000,0.000000,9.797046e-02,down,1.0000
CHST11,50,0.422818,0.000000,0.000000,5.426808e-02,up,1.0000
CHSY1,50,0.351085,0.000000,0.000000,3.881681e-05,up,1.0000
CIRBP,50,-0.360258,0.000000,0.000000,8.424993e-03,down,1.0000
CNN3,50,0.726074,0.000000,0.000000,6.652956e-03,up,1.0000
CNTNAP1,50,-0.303706,0.000000,0.000000,4.764485e-02,down,1.0000
COLGALT1,45,0.458252,0.000000,0.000000,7.367032e-03,up,1.0000
COPG1,50,-0.327150,0.000000,0.000000,4.117832e-02,down,1.0000
