gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
AAAS,2,2,0.09354592938235318,0.09354592938235318,False
AADAC,3,2,0.3845638023468722,0.7069984953781518,True
AAMDC,3,2,-0.2269663487889828,-0.378402565546219,True
AASDH,3,3,0.13207793655602287,0.13207793655602287,False
AASS,3,3,-0.952147694499534,-0.952147694499534,True
AATK,3,2,-0.674241440518674,-0.8716632710084028,True
ABAT,3,2,-0.18417743613678714,-0.24167879579831814,True
ABCA12,3,3,0.43449912085387504,0.43449912085387504,True
ABCA13,3,3,1.4013054992642395,1.4013054992642395,True
ABCA2,2,2,0.32147940472549025,0.32147940472549025,True
ABCA3,3,3,-1.2255807044183005,-1.2255807044183005,True
ABCA8,3,2,0.05228011028151336,0.004986786554622036,False
ABCB6,3,2,-0.4778539641409891,-0.6381445630252094,True
ABCC3,3,3,0.8846178962324931,0.8846178962324931,True
ABCC4,3,2,-0.3011833068636788,-0.4353974602955182,True
ABCC5,3,3,0.6521500527044816,0.6521500527044816,True
ABCC6,2,2,-0.3442852168067223,-0.3442852168067223,True
ABCC8,3,2,-1.2632316865256772,-1.4145145281512614,True
ABCD1,3,2,-0.016492123323062324,0.02717806501540654,False
ABCG1,3,2,-0.11391981892436982,-0.4399465781512609,True
ABHD10,3,2,0.3625035387768442,0.5315515581652663,True
ABHD12B,2,2,0.22441254285714263,0.22441254285714263,True
ABHD14A,2,2,0.35464079135784354,0.35464079135784354,True
ABHD2,3,2,0.2166041765550887,0.2707925148326331,True
ABHD5,3,3,-0.627158793206816,-0.627158793206816,True
ABHD6,3,2,-0.21985503632259626,-0.3747900563025215,True
ABI3,3,2,-0.18863223575490196,-0.21977858823529361,True
ABLIM1,3,2,-0.10682282693090712,-0.2156167457983199,True
ABT1,2,2,-0.021159509465686288,-0.021159509465686288,False
ABTB1,2,2,-0.4342897364705872,-0.4342897364705872,True
ABTB3,2,2,0.520526707519608,0.520526707519608,True
ACAA2,3,2,-0.09186735821428617,-0.19773846680672338,True
ACACA,3,2,-0.31586487757049503,-0.34181249621848747,True
ACADL,3,3,-1.345169549760037,-1.345169549760037,True
ACAN,3,2,0.5370965210308124,0.7700280096638649,True
ACAT1,3,2,-0.4788112568127921,-0.5423162445378149,True
ACAT2,3,3,-0.9003652678366004,-0.9003652678366004,True
ACCS,3,2,0.025795885008403723,0.015612540117647178,False
ACE,3,2,0.5951689936802049,0.7272734905203073,True
ACE2,3,2,-0.5303228599761903,-0.6796014386554615,True
ACER2,3,3,0.6483363843422034,0.6483363843422034,True
ACKR4,3,2,-0.14422564933520174,-0.36370126386554735,True
ACKR5,3,2,-0.20026206837768448,-0.3081418525665267,True
ACLY,3,2,-0.1765878198674137,-0.26524500378151283,True
ACO1,3,2,0.021969364411297116,0.08306404661694566,False
ACOT1,3,2,-0.12737046076890843,-0.2438689819327734,True
ACOX2,3,2,0.38683524602474284,0.5391178690371143,True
ACOXL,2,2,-0.6895193480420159,-0.6895193480420159,True
ACP3,3,3,-0.5723520058506063,-0.5723520058506063,True
ACR,3,3,-0.37666087621848715,-0.37666087621848715,True
ACSF2,3,2,0.0384129817633063,0.05766866172058857,False
ACSL1,3,3,-1.1488312813361334,-1.1488312813361334,True
ACSL3,3,2,-0.08226433587488396,-0.20868346218487435,True
ACSM3,3,3,-0.5556319921806715,-0.5556319921806715,True
ACSM5,2,2,-0.6632987633578431,-0.6632987633578431,True
ACSS2,3,2,-0.6847683816125119,-0.8531006626050426,True
ACSS3,3,2,-0.2735764394444454,-0.39014800294117724,True
ACTC1,3,2,0.2858918768225955,0.3354000886554622,True
ACTG2,3,2,0.8642596632348277,1.026386954621849,True
ACTN1,3,3,0.47979193809523907,0.47979193809523907,True
ACTN4,2,2,0.07064970397548975,0.07064970397548975,False
ACTR1B,2,2,0.0882332616078435,0.0882332616078435,False
ACVR1,2,2,0.3717424670882353,0.3717424670882353,True
ACVR2A,3,2,0.07534423738095293,0.20044444033613534,True
ACVRL1,3,2,-1.0791288974477131,-1.2146371794117647,True
ADA2,3,3,0.5977156783342674,0.5977156783342674,True
ADAM17,3,2,-0.26583007116900054,-0.3868764121848744,True
ADAM19,3,2,0.04652179293744255,0.06500845831372593,False
ADAM23,3,2,0.3134724591237162,0.45671031050420163,True
ADAM28,3,2,0.7649150540018673,0.9220412579831938,True
ADAM8,3,2,-0.0060421841531280345,0.31813992773109256,False
ADAMTS1,3,2,-0.8480159821195148,-1.2470502231792722,True
ADAMTS14,3,2,0.28005969325536867,0.39497203988305296,True
ADAMTS16,3,2,0.468234809685341,0.6591277004201685,True
ADAMTS18,3,2,0.3864702418846874,0.5404223974789918,True
ADAMTS2,3,3,-0.6725879223398689,-0.6725879223398689,True
ADAMTS5,3,2,0.4605328635816995,0.4546236735294129,True
ADAMTS8,3,2,-0.7077202231470584,-0.9221403347205879,True
ADAMTSL1,3,2,0.23619343111578028,0.34604014667367045,True
ADAMTSL3,3,2,-0.6508001992577035,-0.7309493222689081,True
ADAMTSL4,3,3,0.20540258336648123,0.20540258336648123,False
ADAP1,3,2,-0.15607663767460275,-0.22574667142857124,True
ADARB1,3,2,-0.7040274562787117,-0.749179820168068,True
ADCK2,2,2,0.0414696731715683,0.0414696731715683,False
ADCY2,3,2,0.2591654057488333,0.3950156086232499,True
ADCY4,3,2,-0.4089237028576105,-0.5209363037815133,True
