gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
ATP2B2,4,-0.35405996498332765,0.2757579374242923,0.19915873862206068,-0.3328221252697779,0.0745439140771352,8.015132518808164e-06,81.97525943810913,0.15958464885228282,11.09586012144073,3,down
DEPDC5,4,-0.18898645687294044,0.06435372005704568,0.0033174333550988343,-0.1854997216535765,0.03542252904159655,1.6340901677082162e-07,46.69293949427995,0.005498798078561899,3.7518482186527473,3,down
GABRG2,4,-0.3447934690886249,0.3515369917190308,0.326682977287876,-0.3601025807970256,0.08552285373618437,2.546926565387132e-05,74.57258317598715,0.2570451370634918,7.865525679790106,3,down
PRPF19,4,-0.20939077392066568,0.1753550797540264,0.23244047438664672,-0.2215881060352852,0.04884148234765488,5.709167513829704e-06,78.41682002609247,0.0651894780250792,9.266475108940629,3,down
QRICH1,4,-0.17873258666024663,0.03600512120104265,6.902467739022358e-07,-0.17873258666024663,0.03600512120104265,6.902467739022358e-07,0.0,0.0,1.8119107310495723,3,down
ZNF385B,4,-0.2194471377598488,0.15697478070122228,0.16211996495422598,-0.2933480085939179,0.06152128384118456,1.8584587948013884e-06,73.40832597462207,0.04789807492756527,7.521151162169359,3,down
LIN7B,6,-0.2684338983313289,0.06673368109992937,5.759220792288286e-05,-0.2684338983313289,0.06673368109992937,5.759220792288286e-05,0.0,0.0,1.4061734032356343,3,down
NPTN,6,-0.2575140804376988,0.2096187737585765,0.21926395253021191,-0.19878390034410565,0.05805917931249398,0.0006174859736965523,67.4896677613586,0.07947849638815827,6.151890375401404,3,down
RGS7,6,-0.3397751346528047,0.16354332122822995,0.03774760816034141,-0.3787342821520286,0.09221095064371412,4.003817115562689e-05,53.30404359123618,0.039067031228579054,4.283026098646613,3,down
RPH3A,6,-0.38064437021081854,0.244397518702667,0.11935644621156247,-0.30691090673919796,0.0874898669796843,0.0004515578518680068,60.11737833513884,0.10305332068286702,5.014715473837851,3,down
CADPS,8,-0.40029357154274703,0.18496392625362923,0.030451225460839792,-0.4043345543184731,0.08350060283780554,1.2834800288065268e-06,63.62299275335378,0.05805562541774328,5.4979783972866265,3,down
SEZ6L2,8,-0.3520792029526195,0.25629729633588255,0.16953046604236266,-0.2151123055757668,0.05338964974736423,5.5990496326357215e-05,78.57125341904958,0.13712300050530288,9.333257045365155,3,down
SNAP25,8,-0.18207793007093254,0.39693906257855605,0.6464460277659263,0.065150529453664,0.028575989604232657,0.02261334862918574,89.45647729007219,0.39955331744675865,18.96899219571837,3,down
ACTL6B,10,-0.42010555330956406,0.14793068836228956,0.004513036388424786,-0.4000784115260889,0.07449769039204686,7.858549591309765e-08,48.63270826126869,0.03119028548107013,3.8935282205894177,3,down
ICA1,10,-0.3692801069320869,0.19581179916418126,0.05930937117360964,-0.40495155820318735,0.07485820766592882,6.317227805857447e-08,64.2756108767235,0.06701301209013559,5.598416233510584,3,down
SLC25A12,10,-0.4682310257594217,0.2506536838596854,0.06175654117588582,-0.5394942885439363,0.086807917230262,5.138838669672371e-10,74.79916255274439,0.12086888873438112,7.936244198971259,3,down
SLC25A27,10,-0.422361525752175,0.10648318199941566,7.294731130815283e-05,-0.42071565267259176,0.07643118998425624,3.702128598015421e-08,27.809359568646304,0.0104821690403202,2.7704422457670344,3,down
DPP10,11,-0.4378708129159988,0.18323869402833734,0.016865821902943712,-0.42908172546473783,0.08190710358432542,1.6176534723440968e-07,59.24377636992507,0.055007256103684704,4.907225993637338,3,down
NPAS3,12,0.29044678415492886,0.06785041570256868,1.8631241875780426e-05,0.29044678415492886,0.06785041570256868,1.8631241875780426e-05,0.0,0.0,1.618601535139327,3,up
TBR1,12,-0.5700486056436627,0.3152654920483494,0.07058251341105135,-0.412523622386686,0.11598650149136255,0.000375611192839993,59.6508030378252,0.17777855559828162,4.956728139781548,3,down
